id,servicioCategoriaId,nombre,costo,gasto,utilidad,precio_publico,posicion,visible_cliente,tipo_utilidad,status,createdAt,updatedAt
cm3rnwxk00007sl8zp95a1l87,cm3p03mwx0003nk9ssu3ae7rq,Sesión de vestido hasta 2 horas de servicio,1200.0,200.0,625.0,2700.0,2,1,servicio,active,1732214711520,1732562544478
cm3ruaq0o0001nlfx5dq13hqg,cm3p03mwx0003nk9ssu3ae7rq,Shooting para cambios casuales hasta por 2 horas de servicio,800.0,0.0,400.0,1600.0,3,1,servicio,active,1732225432630,1732562552485
cm3rubnce0003nlfxy17wcxsd,cm3p03mwx0003nk9ssu3ae7rq,Asistencia en iluminación para sesión,500.0,200.0,260.0,1280.0,5,1,servicio,active,1732225475823,1732562571924
cm3rud81x0007nlfx62otafdt,cm3p03mwx0003nk9ssu3ae7rq,Revelado digital de todas las fotografías de sesión,250.0,0.0,125.0,500.0,6,1,servicio,active,1732225549318,1732562581002
cm3rueztl0009nlfxo9zfpiap,cm3p03mwx0003nk9ssu3ae7rq,Retoque avanzado de fotografía digital,100.0,0.0,50.0,200.0,7,1,servicio,active,1732225631961,1733362091169
cm3rui931000bnlfxmwmrsa03,cm3p0407x0004nk9sl32143wb,"Cuadro en acrílico 24x36"" en papel perla sobre macocel y bastidor",2040.0,890.0,445.0,4500.0,1,1,producto,active,1732225783934,1732562620197
cm3ruml7w000dnlfxczb5wb1h,cm3p0452q0005nk9slxs3ereu,"Libro de lujo de sesión 12x12"" con portada en acrílico impresa en papel aperlado con interiores impresos el papel velvet o perla con hasta 12 paginas en interior",2400.0,890.0,497.5,5050.0,2,1,producto,active,1732225986284,1732562638326
cm3ruonyj000fnlfxt0ig45bb,cm3p0452q0005nk9slxs3ereu,"Caja clásica 12x12"" para libro de sesión con foto envolvente y foto en tapa interior",1275.0,0.0,262.5,2050.0,5,1,producto,active,1732226083147,1732562695383
cm3ruqfcd000hnlfx7j3v8gfq,cm3p04lcz0006nk9swv8k2z0u,Servicio de grabación profesional sesión en 4k con estabilizador de imagen,1000.0,200.0,510.0,2280.0,1,1,servicio,active,1732226165294,1732562733792
cm3rux19l000lnlfxwhklvs5v,cm3p04lcz0006nk9swv8k2z0u,Grabación con dron 4k para sesión,1000.0,200.0,510.0,2280.0,2,1,servicio,active,1732226473642,1732562741366
cm3ruy60m000pnlfx331t8iqi,cm3p0452q0005nk9slxs3ereu,Diseño de libro de sesión,300.0,0.0,150.0,600.0,1,1,servicio,active,1732226526454,1732562629890
cm3rx4r110001wuf6gv5mtiaq,cm3p04lcz0006nk9swv8k2z0u,Edición de video cinemático de sesión musicalizado de hasta 3min ,1000.0,0.0,500.0,2000.0,3,1,servicio,active,1732230192853,1732562749550
cm3rx6sn00003wuf6kt6019hn,cm3p0bqus000dnk9s7cggt1yt,Edición de video slide musicalizado con las fotos de retoque fino de la sesión,250.0,0.0,125.0,500.0,1,1,servicio,active,1732230288252,1732562798195
cm3rx8dw80005wuf670siax9d,cm3p0bqus000dnk9s7cggt1yt,Edición de video remembranza con hasta 100 fotografías de momentos especiales,350.0,0.0,175.0,700.0,2,1,servicio,active,1732230362456,1732562808047
cm3rxaymp0007wuf6emozpxgx,cm3p0bqus000dnk9s7cggt1yt,Invitación digital personalizada con envío masivo a través de whatsApp,1000.0,0.0,500.0,2000.0,3,1,servicio,active,1732230482641,1732562816173
cm3rxdfqo000bwuf68032sket,cm3p04vhy0007nk9sco2nqv89,Fotógrafo principal por hora,200.0,40.0,101.25,455.0,1,1,servicio,active,1732230598128,1733364419512
cm3rzgk8v000jwuf6l5h826vk,cm3p04vhy0007nk9sco2nqv89,Fotógrafo secundario por hora,200.0,40.0,101.25,455.0,3,1,servicio,active,1732234103166,1733364439485
